Sector;Prestamo;Cobertura;%Cobertura;GrupoCobertura;Nbeneficiarios;MontoPrestado
Comercio;9317919;8183807;0.878;primero;30211;308.428
Industria manufacturera;4237605;3639293;0.859;primero;8998;470.950
Actividades inmobiliarias, empresariales y alquileres;3122472;2741332;0.878;primero;8491;367.739
Transportes, almacenamiento y comunicaciones;2371340;2099257;0.885;primero;8344;284.197
Agricultura, ganaderia, caza y silvicultura;1215440;1054298;0.867;segundo;1431;849.364
Construccion;1140652;1004545;0.881;primero;2528;451.207
Otros servicios;995825;892676;0.896;primero;4895;203.437
Hoteles y restaurantes;544911;484116;0.888;primero;3631;150.072
Mineria;537173;449117;0.836;segundo;431;1246.341
Enseñanza;478515;403275;0.843;primero;822;582.135
Servicios sociales y de salud;369283;321751;0.871;primero;1246;296.375
Pesca;176979;153729;0.869;segundo;180;983.217
Electricidad, gas y agua;161607;137495;0.851;tercero;205;788.327
Intemediacion financiera;78261;67065;0.857;primero;140;559.007
